licence_group,source
44095,Angola
44095,Austria
44095,Botswana
44095,Bulgaria
44095,Cameroon
44095,Chad
44095,Denmark
44095,"Equatorial Guinea"
44095,France
44095,Gabon
44095,Germany
44095,Ghana
44095,Greece
44095,"Guinea, Republic of"
44095,Hungary
44095,Israel
44095,Italy
44095,Kenya
44095,Mauritania
44095,Morocco
44095,Mozambique
44095,Namibia
44095,Netherlands
44095,Nigeria
44095,Norway
44095,Poland
44095,Portugal
44095,"Republic of Congo"
44095,Romania
44095,Senegal
44095,Slovenia
44095,"South Africa"
44095,Spain
44095,Switzerland
44095,Tanzania
44095,Turkey
44095,Uganda
44095,Ukraine
44095,"United States of America"
44096,Angola
44096,Austria
44096,Botswana
44096,Bulgaria
44096,Cameroon
44096,Chad
44096,Denmark
44096,"Equatorial Guinea"
44096,France
44096,Gabon
44096,Germany
44096,Ghana
44096,Greece
44096,"Guinea, Republic of"
44096,Hungary
44096,Israel
44096,Italy
44096,Kenya
44096,Mauritania
44096,Morocco
44096,Mozambique
44096,Namibia
44096,Netherlands
44096,Nigeria
44096,Norway
44096,Poland
44096,Portugal
44096,"Republic of Congo"
44096,Romania
44096,Senegal
44096,Slovenia
44096,"South Africa"
44096,Spain
44096,Switzerland
44096,Tanzania
44096,Turkey
44096,Uganda
44096,Ukraine
44096,"United States of America"
44097,Angola
44097,Austria
44097,Botswana
44097,Bulgaria
44097,Cameroon
44097,Chad
44097,Denmark
44097,"Equatorial Guinea"
44097,France
44097,Gabon
44097,Germany
44097,Ghana
44097,Greece
44097,"Guinea, Republic of"
44097,Hungary
44097,Israel
44097,Italy
44097,Kenya
44097,Mauritania
44097,Morocco
44097,Mozambique
44097,Namibia
44097,Netherlands
44097,Nigeria
44097,Norway
44097,Poland
44097,Portugal
44097,"Republic of Congo"
44097,Romania
44097,Senegal
44097,Slovenia
44097,"South Africa"
44097,Spain
44097,Switzerland
44097,Tanzania
44097,Turkey
44097,Uganda
44097,Ukraine
44097,"United States of America"
44098,Angola
44098,Austria
44098,Botswana
44098,Bulgaria
44098,Cameroon
44098,Chad
44098,Denmark
44098,"Equatorial Guinea"
44098,France
44098,Gabon
44098,Germany
44098,Ghana
44098,Greece
44098,"Guinea, Republic of"
44098,Hungary
44098,Israel
44098,Italy
44098,Kenya
44098,Mauritania
44098,Morocco
44098,Mozambique
44098,Namibia
44098,Netherlands
44098,Nigeria
44098,Norway
44098,Poland
44098,Portugal
44098,"Republic of Congo"
44098,Romania
44098,Senegal
44098,Slovenia
44098,"South Africa"
44098,Spain
44098,Switzerland
44098,Tanzania
44098,Turkey
44098,Uganda
44098,Ukraine
44098,"United States of America"
44099,Angola
44099,Austria
44099,Botswana
44099,Bulgaria
44099,Cameroon
44099,Chad
44099,Denmark
44099,"Equatorial Guinea"
44099,France
44099,Gabon
44099,Germany
44099,Ghana
44099,Greece
44099,"Guinea, Republic of"
44099,Hungary
44099,Israel
44099,Italy
44099,Kenya
44099,Mauritania
44099,Morocco
44099,Mozambique
44099,Namibia
44099,Netherlands
44099,Nigeria
44099,Norway
44099,Poland
44099,Portugal
44099,"Republic of Congo"
44099,Romania
44099,Senegal
44099,Slovenia
44099,"South Africa"
44099,Spain
44099,Switzerland
44099,Tanzania
44099,Turkey
44099,Uganda
44099,Ukraine
44099,"United States of America"
44100,Angola
44100,Austria
44100,Botswana
44100,Bulgaria
44100,Cameroon
44100,Chad
44100,Denmark
44100,"Equatorial Guinea"
44100,France
44100,Gabon
44100,Germany
44100,Ghana
44100,Greece
44100,"Guinea, Republic of"
44100,Hungary
44100,Israel
44100,Italy
44100,Kenya
44100,Mauritania
44100,Morocco
44100,Mozambique
44100,Namibia
44100,Netherlands
44100,Nigeria
44100,Norway
44100,Poland
44100,Portugal
44100,"Republic of Congo"
44100,Romania
44100,Senegal
44100,Slovenia
44100,"South Africa"
44100,Spain
44100,Switzerland
44100,Tanzania
44100,Turkey
44100,Uganda
44100,Ukraine
44100,"United States of America"
44101,Angola
44101,Austria
44101,Botswana
44101,Bulgaria
44101,Cameroon
44101,Chad
44101,Denmark
44101,"Equatorial Guinea"
44101,France
44101,Gabon
44101,Germany
44101,Ghana
44101,Greece
44101,"Guinea, Republic of"
44101,Hungary
44101,Israel
44101,Italy
44101,Kenya
44101,Mauritania
44101,Morocco
44101,Mozambique
44101,Namibia
44101,Netherlands
44101,Nigeria
44101,Norway
44101,Poland
44101,Portugal
44101,"Republic of Congo"
44101,Romania
44101,Senegal
44101,Slovenia
44101,"South Africa"
44101,Spain
44101,Switzerland
44101,Tanzania
44101,Turkey
44101,Uganda
44101,Ukraine
44101,"United States of America"
44102,Angola
44102,Austria
44102,Botswana
44102,Bulgaria
44102,Cameroon
44102,Chad
44102,Denmark
44102,"Equatorial Guinea"
44102,France
44102,Gabon
44102,Germany
44102,Ghana
44102,Greece
44102,"Guinea, Republic of"
44102,Hungary
44102,Israel
44102,Italy
44102,Kenya
44102,Mauritania
44102,Morocco
44102,Mozambique
44102,Namibia
44102,Netherlands
44102,Nigeria
44102,Norway
44102,Poland
44102,Portugal
44102,"Republic of Congo"
44102,Romania
44102,Senegal
44102,Slovenia
44102,"South Africa"
44102,Spain
44102,Switzerland
44102,Tanzania
44102,Turkey
44102,Uganda
44102,Ukraine
44102,"United States of America"
44103,Angola
44103,Austria
44103,Botswana
44103,Bulgaria
44103,Cameroon
44103,Chad
44103,Denmark
44103,"Equatorial Guinea"
44103,France
44103,Gabon
44103,Germany
44103,Ghana
44103,Greece
44103,"Guinea, Republic of"
44103,Hungary
44103,Israel
44103,Italy
44103,Kenya
44103,Mauritania
44103,Morocco
44103,Mozambique
44103,Namibia
44103,Netherlands
44103,Nigeria
44103,Norway
44103,Poland
44103,Portugal
44103,"Republic of Congo"
44103,Romania
44103,Senegal
44103,Slovenia
44103,"South Africa"
44103,Spain
44103,Switzerland
44103,Tanzania
44103,Turkey
44103,Uganda
44103,Ukraine
44103,"United States of America"
44104,Angola
44104,Austria
44104,Botswana
44104,Bulgaria
44104,Cameroon
44104,Chad
44104,Denmark
44104,"Equatorial Guinea"
44104,France
44104,Gabon
44104,Germany
44104,Ghana
44104,Greece
44104,"Guinea, Republic of"
44104,Hungary
44104,Israel
44104,Italy
44104,Kenya
44104,Mauritania
44104,Morocco
44104,Mozambique
44104,Namibia
44104,Netherlands
44104,Nigeria
44104,Norway
44104,Poland
44104,Portugal
44104,"Republic of Congo"
44104,Romania
44104,Senegal
44104,Slovenia
44104,"South Africa"
44104,Spain
44104,Switzerland
44104,Tanzania
44104,Turkey
44104,Uganda
44104,Ukraine
44104,"United States of America"
44105,Angola
44105,Austria
44105,Botswana
44105,Bulgaria
44105,Cameroon
44105,Chad
44105,Denmark
44105,"Equatorial Guinea"
44105,France
44105,Gabon
44105,Germany
44105,Ghana
44105,Greece
44105,"Guinea, Republic of"
44105,Hungary
44105,Israel
44105,Italy
44105,Kenya
44105,Mauritania
44105,Morocco
44105,Mozambique
44105,Namibia
44105,Netherlands
44105,Nigeria
44105,Norway
44105,Poland
44105,Portugal
44105,"Republic of Congo"
44105,Romania
44105,Senegal
44105,Slovenia
44105,"South Africa"
44105,Spain
44105,Switzerland
44105,Tanzania
44105,Turkey
44105,Uganda
44105,Ukraine
44105,"United States of America"
44106,Angola
44106,Austria
44106,Botswana
44106,Bulgaria
44106,Cameroon
44106,Chad
44106,Denmark
44106,"Equatorial Guinea"
44106,France
44106,Gabon
44106,Germany
44106,Ghana
44106,Greece
44106,"Guinea, Republic of"
44106,Hungary
44106,Israel
44106,Italy
44106,Kenya
44106,Mauritania
44106,Morocco
44106,Mozambique
44106,Namibia
44106,Netherlands
44106,Nigeria
44106,Norway
44106,Poland
44106,Portugal
44106,"Republic of Congo"
44106,Romania
44106,Senegal
44106,Slovenia
44106,"South Africa"
44106,Spain
44106,Switzerland
44106,Tanzania
44106,Turkey
44106,Uganda
44106,Ukraine
44106,"United States of America"
44107,Angola
44107,Austria
44107,Botswana
44107,Bulgaria
44107,Cameroon
44107,Chad
44107,Denmark
44107,"Equatorial Guinea"
44107,France
44107,Gabon
44107,Germany
44107,Ghana
44107,Greece
44107,"Guinea, Republic of"
44107,Hungary
44107,Israel
44107,Italy
44107,Kenya
44107,Mauritania
44107,Morocco
44107,Mozambique
44107,Namibia
44107,Netherlands
44107,Nigeria
44107,Norway
44107,Poland
44107,Portugal
44107,"Republic of Congo"
44107,Romania
44107,Senegal
44107,Slovenia
44107,"South Africa"
44107,Spain
44107,Switzerland
44107,Tanzania
44107,Turkey
44107,Uganda
44107,Ukraine
44107,"United States of America"
44108,Angola
44108,Austria
44108,Botswana
44108,Bulgaria
44108,Cameroon
44108,Chad
44108,Denmark
44108,"Equatorial Guinea"
44108,France
44108,Gabon
44108,Germany
44108,Ghana
44108,Greece
44108,"Guinea, Republic of"
44108,Hungary
44108,Israel
44108,Italy
44108,Kenya
44108,Mauritania
44108,Morocco
44108,Mozambique
44108,Namibia
44108,Netherlands
44108,Nigeria
44108,Norway
44108,Poland
44108,Portugal
44108,"Republic of Congo"
44108,Romania
44108,Senegal
44108,Slovenia
44108,"South Africa"
44108,Spain
44108,Switzerland
44108,Tanzania
44108,Turkey
44108,Uganda
44108,Ukraine
44108,"United States of America"
44109,Angola
44109,Austria
44109,Botswana
44109,Bulgaria
44109,Cameroon
44109,Chad
44109,Denmark
44109,"Equatorial Guinea"
44109,France
44109,Gabon
44109,Germany
44109,Ghana
44109,Greece
44109,"Guinea, Republic of"
44109,Hungary
44109,Israel
44109,Italy
44109,Kenya
44109,Mauritania
44109,Morocco
44109,Mozambique
44109,Namibia
44109,Netherlands
44109,Nigeria
44109,Norway
44109,Poland
44109,Portugal
44109,"Republic of Congo"
44109,Romania
44109,Senegal
44109,Slovenia
44109,"South Africa"
44109,Spain
44109,Switzerland
44109,Tanzania
44109,Turkey
44109,Uganda
44109,Ukraine
44109,"United States of America"
44110,Angola
44110,Austria
44110,Botswana
44110,Bulgaria
44110,Cameroon
44110,Chad
44110,Denmark
44110,"Equatorial Guinea"
44110,France
44110,Gabon
44110,Germany
44110,Ghana
44110,Greece
44110,"Guinea, Republic of"
44110,Hungary
44110,Israel
44110,Italy
44110,Kenya
44110,Mauritania
44110,Morocco
44110,Mozambique
44110,Namibia
44110,Netherlands
44110,Nigeria
44110,Norway
44110,Poland
44110,Portugal
44110,"Republic of Congo"
44110,Romania
44110,Senegal
44110,Slovenia
44110,"South Africa"
44110,Spain
44110,Switzerland
44110,Tanzania
44110,Turkey
44110,Uganda
44110,Ukraine
44110,"United States of America"
44111,Angola
44111,Austria
44111,Botswana
44111,Bulgaria
44111,Cameroon
44111,Chad
44111,Denmark
44111,"Equatorial Guinea"
44111,France
44111,Gabon
44111,Germany
44111,Ghana
44111,Greece
44111,"Guinea, Republic of"
44111,Hungary
44111,Israel
44111,Italy
44111,Kenya
44111,Mauritania
44111,Morocco
44111,Mozambique
44111,Namibia
44111,Netherlands
44111,Nigeria
44111,Norway
44111,Poland
44111,Portugal
44111,"Republic of Congo"
44111,Romania
44111,Senegal
44111,Slovenia
44111,"South Africa"
44111,Spain
44111,Switzerland
44111,Tanzania
44111,Turkey
44111,Uganda
44111,Ukraine
44111,"United States of America"
44112,Angola
44112,Austria
44112,Botswana
44112,Bulgaria
44112,Cameroon
44112,Chad
44112,Denmark
44112,"Equatorial Guinea"
44112,France
44112,Gabon
44112,Germany
